Key,HueName,HuePrefix,HueNumber,Value,Chroma,R,G,B
5.0Y-2-4,5.0Y,Y,5.0,2,4,63,47,6
5.0Y-3-2,5.0Y,Y,5.0,3,2,81,71,55
5.0Y-3-4,5.0Y,Y,5.0,3,4,87,70,33
5.0Y-3-6,5.0Y,Y,5.0,3,6,91,69,0
5.0Y-4-2,5.0Y,Y,5.0,4,2,107,95,77
5.0Y-4-4,5.0Y,Y,5.0,4,4,113,94,52
5.0Y-4-6,5.0Y,Y,5.0,4,6,118,94,25
5.0Y-4-8,5.0Y,Y,5.0,4,8,121,93,0
5.0Y-5-2,5.0Y,Y,5.0,5,2,133,120,103
5.0Y-5-4,5.0Y,Y,5.0,5,4,140,120,77
5.0Y-5-6,5.0Y,Y,5.0,5,6,145,119,48
5.0Y-5-8,5.0Y,Y,5.0,5,8,149,118,10
5.0Y-5-10,5.0Y,Y,5.0,5,10,151,118,0
5.0Y-5-12,5.0Y,Y,5.0,5,12,153,118,0
5.0Y-6-2,5.0Y,Y,5.0,6,2,159,146,128
5.0Y-6-4,5.0Y,Y,5.0,6,4,166,146,102
5.0Y-6-6,5.0Y,Y,5.0,6,6,172,145,74
5.0Y-6-8,5.0Y,Y,5.0,6,8,177,144,42
5.0Y-6-10,5.0Y,Y,5.0,6,10,180,144,0
5.0Y-6-12,5.0Y,Y,5.0,6,12,182,143,0
5.0Y-6-14,5.0Y,Y,5.0,6,14,183,143,0
5.0Y-7-2,5.0Y,Y,5.0,7,2,186,172,153
5.0Y-7-4,5.0Y,Y,5.0,7,4,193,172,127
5.0Y-7-6,5.0Y,Y,5.0,7,6,198,171,100
5.0Y-7-8,5.0Y,Y,5.0,7,8,204,171,71
5.0Y-7-10,5.0Y,Y,5.0,7,10,208,170,29
5.0Y-7-12,5.0Y,Y,5.0,7,12,211,170,0
5.0Y-7-14,5.0Y,Y,5.0,7,14,212,169,0
5.0Y-7-16,5.0Y,Y,5.0,7,16,214,169,0
5.0Y-8-2,5.0Y,Y,5.0,8,2,213,198,179
5.0Y-8-4,5.0Y,Y,5.0,8,4,219,198,153
5.0Y-8-6,5.0Y,Y,5.0,8,6,225,198,125
5.0Y-8-8,5.0Y,Y,5.0,8,8,231,198,96
5.0Y-8-10,5.0Y,Y,5.0,8,10,235,197,63
5.0Y-8-12,5.0Y,Y,5.0,8,12,238,197,0
5.0Y-8-14,5.0Y,Y,5.0,8,14,241,196,0
5.0Y-8-16,5.0Y,Y,5.0,8,16,242,196,0
5.0Y-8-18,5.0Y,Y,5.0,8,18,243,196,0
5.0Y-9-2,5.0Y,Y,5.0,9,2,241,225,205
5.0Y-9-4,5.0Y,Y,5.0,9,4,248,225,177
5.0Y-9-6,5.0Y,Y,5.0,9,6,253,225,149
5.0Y-9-8,5.0Y,Y,5.0,9,8,255,225,119
5.0Y-9-10,5.0Y,Y,5.0,9,10,255,225,89
5.0Y-9-12,5.0Y,Y,5.0,9,12,255,224,45
5.0Y-9-14,5.0Y,Y,5.0,9,14,255,224,0
5.0Y-9-16,5.0Y,Y,5.0,9,16,255,223,0
5.0Y-9-18,5.0Y,Y,5.0,9,18,255,223,0
5.0Y-9-20,5.0Y,Y,5.0,9,20,255,223,0
7.5Y-1-2,7.5Y,Y,7.5,1,2,34,28,11
7.5Y-2-2,7.5Y,Y,7.5,2,2,55,49,35
7.5Y-2-4,7.5Y,Y,7.5,2,4,59,49,5
7.5Y-3-2,7.5Y,Y,7.5,3,2,79,71,55
7.5Y-3-4,7.5Y,Y,7.5,3,4,82,72,32
7.5Y-3-6,7.5Y,Y,7.5,3,6,85,71,0
7.5Y-4-2,7.5Y,Y,7.5,4,2,104,96,77
7.5Y-4-4,7.5Y,Y,7.5,4,4,108,96,51
7.5Y-4-6,7.5Y,Y,7.5,4,6,111,96,23
7.5Y-4-8,7.5Y,Y,7.5,4,8,113,96,0
7.5Y-5-2,7.5Y,Y,7.5,5,2,130,121,102
7.5Y-5-4,7.5Y,Y,7.5,5,4,135,121,76
7.5Y-5-6,7.5Y,Y,7.5,5,6,138,122,46
7.5Y-5-8,7.5Y,Y,7.5,5,8,141,122,0
7.5Y-5-10,7.5Y,Y,7.5,5,10,142,121,0
7.5Y-5-12,7.5Y,Y,7.5,5,12,144,121,0
7.5Y-6-2,7.5Y,Y,7.5,6,2,157,147,127
7.5Y-6-4,7.5Y,Y,7.5,6,4,161,147,101
7.5Y-6-6,7.5Y,Y,7.5,6,6,165,148,72
7.5Y-6-8,7.5Y,Y,7.5,6,8,168,148,37
7.5Y-6-10,7.5Y,Y,7.5,6,10,170,148,0
7.5Y-6-12,7.5Y,Y,7.5,6,12,172,147,0
7.5Y-6-14,7.5Y,Y,7.5,6,14,173,147,0
7.5Y-7-2,7.5Y,Y,7.5,7,2,184,173,153
7.5Y-7-4,7.5Y,Y,7.5,7,4,188,173,126
7.5Y-7-6,7.5Y,Y,7.5,7,6,192,174,99
7.5Y-7-8,7.5Y,Y,7.5,7,8,195,174,68
7.5Y-7-10,7.5Y,Y,7.5,7,10,198,174,19
7.5Y-7-12,7.5Y,Y,7.5,7,12,200,174,0
7.5Y-7-14,7.5Y,Y,7.5,7,14,201,174,0
7.5Y-7-16,7.5Y,Y,7.5,7,16,202,174,0
7.5Y-8-2,7.5Y,Y,7.5,8,2,211,199,178
7.5Y-8-4,7.5Y,Y,7.5,8,4,215,200,152
7.5Y-8-6,7.5Y,Y,7.5,8,6,219,200,124
7.5Y-8-8,7.5Y,Y,7.5,8,8,222,200,93
7.5Y-8-10,7.5Y,Y,7.5,8,10,225,201,58
7.5Y-8-12,7.5Y,Y,7.5,8,12,228,201,0
7.5Y-8-14,7.5Y,Y,7.5,8,14,229,201,0
7.5Y-8-16,7.5Y,Y,7.5,8,16,230,200,0
7.5Y-8-18,7.5Y,Y,7.5,8,18,231,200,0
7.5Y-9-2,7.5Y,Y,7.5,9,2,239,226,204
7.5Y-9-4,7.5Y,Y,7.5,9,4,243,227,176
7.5Y-9-6,7.5Y,Y,7.5,9,6,247,227,147
7.5Y-9-8,7.5Y,Y,7.5,9,8,251,228,117
7.5Y-9-10,7.5Y,Y,7.5,9,10,254,228,85
7.5Y-9-12,7.5Y,Y,7.5,9,12,255,228,36
7.5Y-9-14,7.5Y,Y,7.5,9,14,255,228,0
7.5Y-9-16,7.5Y,Y,7.5,9,16,255,228,0
7.5Y-9-18,7.5Y,Y,7.5,9,18,255,228,0
10.0Y-1-2,10.0Y,Y,10.0,1,2,31,29,14
10.0Y-2-2,10.0Y,Y,10.0,2,2,52,50,36
10.0Y-2-4,10.0Y,Y,10.0,2,4,54,50,8
10.0Y-3-2,10.0Y,Y,10.0,3,2,76,72,56
10.0Y-3-4,10.0Y,Y,10.0,3,4,78,73,32
10.0Y-3-6,10.0Y,Y,10.0,3,6,79,74,0
10.0Y-4-2,10.0Y,Y,10.0,4,2,101,97,78
10.0Y-4-4,10.0Y,Y,10.0,4,4,103,98,52
10.0Y-4-6,10.0Y,Y,10.0,4,6,105,98,22
10.0Y-4-8,10.0Y,Y,10.0,4,8,106,99,0
10.0Y-5-2,10.0Y,Y,10.0,5,2,128,122,103
10.0Y-5-4,10.0Y,Y,10.0,5,4,130,123,77
10.0Y-5-6,10.0Y,Y,10.0,5,6,131,124,47
10.0Y-5-8,10.0Y,Y,10.0,5,8,133,124,0
10.0Y-5-10,10.0Y,Y,10.0,5,10,133,125,0
10.0Y-5-12,10.0Y,Y,10.0,5,12,134,125,0
10.0Y-6-2,10.0Y,Y,10.0,6,2,154,148,127
10.0Y-6-4,10.0Y,Y,10.0,6,4,157,149,102
10.0Y-6-6,10.0Y,Y,10.0,6,6,159,150,73
10.0Y-6-8,10.0Y,Y,10.0,6,8,160,150,37
10.0Y-6-10,10.0Y,Y,10.0,6,10,161,151,0
10.0Y-6-12,10.0Y,Y,10.0,6,12,161,151,0
10.0Y-6-14,10.0Y,Y,10.0,6,14,162,151,0
10.0Y-7-2,10.0Y,Y,10.0,7,2,181,174,153
10.0Y-7-4,10.0Y,Y,10.0,7,4,184,175,126
10.0Y-7-6,10.0Y,Y,10.0,7,6,186,176,99
10.0Y-7-8,10.0Y,Y,10.0,7,8,187,176,68
10.0Y-7-10,10.0Y,Y,10.0,7,10,189,177,14
10.0Y-7-12,10.0Y,Y,10.0,7,12,189,177,0
10.0Y-7-14,10.0Y,Y,10.0,7,14,190,178,0
10.0Y-7-16,10.0Y,Y,10.0,7,16,190,178,0
10.0Y-8-2,10.0Y,Y,10.0,8,2,208,200,178
10.0Y-8-4,10.0Y,Y,10.0,8,4,211,201,152
10.0Y-8-6,10.0Y,Y,10.0,8,6,213,202,123
10.0Y-8-8,10.0Y,Y,10.0,8,8,215,203,93
10.0Y-8-10,10.0Y,Y,10.0,8,10,216,204,57
10.0Y-8-12,10.0Y,Y,10.0,8,12,217,204,0
10.0Y-8-14,10.0Y,Y,10.0,8,14,218,204,0
10.0Y-8-16,10.0Y,Y,10.0,8,16,218,205,0
10.0Y-8-18,10.0Y,Y,10.0,8,18,218,205,0
10.0Y-9-2,10.0Y,Y,10.0,9,2,236,227,204
10.0Y-9-4,10.0Y,Y,10.0,9,4,239,228,175
10.0Y-9-6,10.0Y,Y,10.0,9,6,241,229,147
10.0Y-9-8,10.0Y,Y,10.0,9,8,243,230,116
10.0Y-9-10,10.0Y,Y,10.0,9,10,245,231,83
10.0Y-9-12,10.0Y,Y,10.0,9,12,246,231,32
10.0Y-9-14,10.0Y,Y,10.0,9,14,247,232,0
10.0Y-9-16,10.0Y,Y,10.0,9,16,247,232,0
10.0Y-9-18,10.0Y,Y,10.0,9,18,248,232,0
2.5GY-1-2,2.5GY,GY,2.5,1,2,28,30,17
2.5GY-2-2,2.5GY,GY,2.5,2,2,50,50,38
2.5GY-2-4,2.5GY,GY,2.5,2,4,48,52,15
2.5GY-3-2,2.5GY,GY,2.5,3,2,73,73,57
2.5GY-3-4,2.5GY,GY,2.5,3,4,72,75,35
2.5GY-3-6,2.5GY,GY,2.5,3,6,71,76,3
2.5GY-4-2,2.5GY,GY,2.5,4,2,98,98,80
2.5GY-4-4,2.5GY,GY,2.5,4,4,97,99,55
2.5GY-4-6,2.5GY,GY,2.5,4,6,96,101,28
2.5GY-4-8,2.5GY,GY,2.5,4,8,95,102,0
2.5GY-5-2,2.5GY,GY,2.5,5,2,124,123,105
2.5GY-5-4,2.5GY,GY,2.5,5,4,123,125,80
2.5GY-5-6,2.5GY,GY,2.5,5,6,123,126,52
2.5GY-5-8,2.5GY,GY,2.5,5,8,122,127,11
2.5GY-5-10,2.5GY,GY,2.5,5,10,120,128,0
2.5GY-5-12,2.5GY,GY,2.5,5,12,120,129,0
2.5GY-6-2,2.5GY,GY,2.5,6,2,151,149,129
2.5GY-6-4,2.5GY,GY,2.5,6,4,150,151,104
2.5GY-6-6,2.5GY,GY,2.5,6,6,149,152,77
2.5GY-6-8,2.5GY,GY,2.5,6,8,148,154,43
2.5GY-6-10,2.5GY,GY,2.5,6,10,148,155,0
2.5GY-6-12,2.5GY,GY,2.5,6,12,147,155,0
2.5GY-6-14,2.5GY,GY,2.5,6,14,146,156,0
2.5GY-7-2,2.5GY,GY,2.5,7,2,178,175,154
2.5GY-7-4,2.5GY,GY,2.5,7,4,177,177,129
2.5GY-7-6,2.5GY,GY,2.5,7,6,177,178,104
2.5GY-7-8,2.5GY,GY,2.5,7,8,176,180,73
2.5GY-7-10,2.5GY,GY,2.5,7,10,175,181,27
2.5GY-7-12,2.5GY,GY,2.5,7,12,174,182,0
2.5GY-7-14,2.5GY,GY,2.5,7,14,174,182,0
2.5GY-7-16,2.5GY,GY,2.5,7,16,173,183,0
2.5GY-8-2,2.5GY,GY,2.5,8,2,205,201,179
2.5GY-8-4,2.5GY,GY,2.5,8,4,205,203,154
2.5GY-8-6,2.5GY,GY,2.5,8,6,204,205,127
2.5GY-8-8,2.5GY,GY,2.5,8,8,203,206,99
2.5GY-8-10,2.5GY,GY,2.5,8,10,203,208,62
2.5GY-8-12,2.5GY,GY,2.5,8,12,202,209,0
2.5GY-8-14,2.5GY,GY,2.5,8,14,201,209,0
2.5GY-8-16,2.5GY,GY,2.5,8,16,201,210,0
2.5GY-8-18,2.5GY,GY,2.5,8,18,201,210,0
2.5GY-9-2,2.5GY,GY,2.5,9,2,233,228,204
2.5GY-9-4,2.5GY,GY,2.5,9,4,233,230,177
2.5GY-9-6,2.5GY,GY,2.5,9,6,233,232,149
2.5GY-9-8,2.5GY,GY,2.5,9,8,232,234,119
2.5GY-9-10,2.5GY,GY,2.5,9,10,231,235,87
2.5GY-9-12,2.5GY,GY,2.5,9,12,230,236,37
2.5GY-9-14,2.5GY,GY,2.5,9,14,229,237,0
2.5GY-9-16,2.5GY,GY,2.5,9,16,229,238,0
2.5GY-9-18,2.5GY,GY,2.5,9,18,229,238,0
5.0GY-1-2,5.0GY,GY,5.0,1,2,26,30,19
5.0GY-1-4,5.0GY,GY,5.0,1,4,18,33,0
5.0GY-2-2,5.0GY,GY,5.0,2,2,48,51,40
5.0GY-2-4,5.0GY,GY,5.0,2,4,43,53,21
5.0GY-2-6,5.0GY,GY,5.0,2,6,37,55,0
5.0GY-3-2,5.0GY,GY,5.0,3,2,70,74,59
5.0GY-3-4,5.0GY,GY,5.0,3,4,66,76,40
5.0GY-3-6,5.0GY,GY,5.0,3,6,61,78,15
5.0GY-3-8,5.0GY,GY,5.0,3,8,57,80,0
5.0GY-4-2,5.0GY,GY,5.0,4,2,95,98,82
5.0GY-4-4,5.0GY,GY,5.0,4,4,91,101,60
5.0GY-4-6,5.0GY,GY,5.0,4,6,87,103,36
5.0GY-4-8,5.0GY,GY,5.0,4,8,83,105,0
5.0GY-4-10,5.0GY,GY,5.0,4,10,79,106,0
5.0GY-5-2,5.0GY,GY,5.0,5,2,121,124,107
5.0GY-5-4,5.0GY,GY,5.0,5,4,117,126,85
5.0GY-5-6,5.0GY,GY,5.0,5,6,113,129,61
5.0GY-5-8,5.0GY,GY,5.0,5,8,109,131,30
5.0GY-5-10,5.0GY,GY,5.0,5,10,105,132,0
5.0GY-5-12,5.0GY,GY,5.0,5,12,102,133,0
5.0GY-6-2,5.0GY,GY,5.0,6,2,148,149,131
5.0GY-6-4,5.0GY,GY,5.0,6,4,144,152,108
5.0GY-6-6,5.0GY,GY,5.0,6,6,140,155,85
5.0GY-6-8,5.0GY,GY,5.0,6,8,136,157,56
5.0GY-6-10,5.0GY,GY,5.0,6,10,132,158,7
5.0GY-6-12,5.0GY,GY,5.0,6,12,129,160,0
5.0GY-6-14,5.0GY,GY,5.0,6,14,126,161,0
5.0GY-7-2,5.0GY,GY,5.0,7,2,175,175,156
5.0GY-7-4,5.0GY,GY,5.0,7,4,171,178,133
5.0GY-7-6,5.0GY,GY,5.0,7,6,167,181,110
5.0GY-7-8,5.0GY,GY,5.0,7,8,164,183,83
5.0GY-7-10,5.0GY,GY,5.0,7,10,160,185,48
5.0GY-7-12,5.0GY,GY,5.0,7,12,156,186,0
5.0GY-7-14,5.0GY,GY,5.0,7,14,153,187,0
5.0GY-7-16,5.0GY,GY,5.0,7,16,151,188,0
5.0GY-8-2,5.0GY,GY,5.0,8,2,202,202,181
5.0GY-8-4,5.0GY,GY,5.0,8,4,199,204,157
5.0GY-8-6,5.0GY,GY,5.0,8,6,196,207,132
5.0GY-8-8,5.0GY,GY,5.0,8,8,192,209,107
5.0GY-8-10,5.0GY,GY,5.0,8,10,188,211,76
5.0GY-8-12,5.0GY,GY,5.0,8,12,184,213,25
5.0GY-8-14,5.0GY,GY,5.0,8,14,181,215,0
5.0GY-8-16,5.0GY,GY,5.0,8,16,178,216,0
5.0GY-8-18,5.0GY,GY,5.0,8,18,176,216,0
5.0GY-8-20,5.0GY,GY,5.0,8,20,176,217,0
5.0GY-9-2,5.0GY,GY,5.0,9,2,230,229,206
5.0GY-9-4,5.0GY,GY,5.0,9,4,227,232,179
5.0GY-9-6,5.0GY,GY,5.0,9,6,224,234,153
5.0GY-9-8,5.0GY,GY,5.0,9,8,220,237,125
5.0GY-9-10,5.0GY,GY,5.0,9,10,216,239,95
5.0GY-9-12,5.0GY,GY,5.0,9,12,212,241,55
5.0GY-9-14,5.0GY,GY,5.0,9,14,209,242,0
5.0GY-9-16,5.0GY,GY,5.0,9,16,206,244,0
5.0GY-9-18,5.0GY,GY,5.0,9,18,204,244,0
7.5GY-1-2,7.5GY,GY,7.5,1,2,24,31,22
7.5GY-1-4,7.5GY,GY,7.5,1,4,9,34,5
7.5GY-2-2,7.5GY,GY,7.5,2,2,45,51,43
7.5GY-2-4,7.5GY,GY,7.5,2,4,36,54,28
7.5GY-2-6,7.5GY,GY,7.5,2,6,25,57,10
7.5GY-2-8,7.5GY,GY,7.5,2,8,2,59,0
7.5GY-3-2,7.5GY,GY,7.5,3,2,67,74,63
7.5GY-3-4,7.5GY,GY,7.5,3,4,58,77,47
7.5GY-3-6,7.5GY,GY,7.5,3,6,49,80,30
7.5GY-3-8,7.5GY,GY,7.5,3,8,37,82,2
7.5GY-3-10,7.5GY,GY,7.5,3,10,17,84,0
7.5GY-4-2,7.5GY,GY,7.5,4,2,91,99,86
7.5GY-4-4,7.5GY,GY,7.5,4,4,82,103,68
7.5GY-4-6,7.5GY,GY,7.5,4,6,73,105,49
7.5GY-4-8,7.5GY,GY,7.5,4,8,62,108,25
7.5GY-4-10,7.5GY,GY,7.5,4,10,50,110,0
7.5GY-4-12,7.5GY,GY,7.5,4,12,33,112,0
7.5GY-5-2,7.5GY,GY,7.5,5,2,117,125,111
7.5GY-5-4,7.5GY,GY,7.5,5,4,109,128,93
7.5GY-5-6,7.5GY,GY,7.5,5,6,99,131,74
7.5GY-5-8,7.5GY,GY,7.5,5,8,90,134,52
7.5GY-5-10,7.5GY,GY,7.5,5,10,79,136,20
7.5GY-5-12,7.5GY,GY,7.5,5,12,68,138,0
7.5GY-5-14,7.5GY,GY,7.5,5,14,56,140,0
7.5GY-6-2,7.5GY,GY,7.5,6,2,142,151,135
7.5GY-6-4,7.5GY,GY,7.5,6,4,134,154,117
7.5GY-6-6,7.5GY,GY,7.5,6,6,126,157,98
7.5GY-6-8,7.5GY,GY,7.5,6,8,117,160,75
7.5GY-6-10,7.5GY,GY,7.5,6,10,107,163,50
7.5GY-6-12,7.5GY,GY,7.5,6,12,97,165,4
7.5GY-6-14,7.5GY,GY,7.5,6,14,86,167,0
7.5GY-6-16,7.5GY,GY,7.5,6,16,77,169,0
7.5GY-7-2,7.5GY,GY,7.5,7,2,169,177,160
7.5GY-7-4,7.5GY,GY,7.5,7,4,161,180,142
7.5GY-7-6,7.5GY,GY,7.5,7,6,153,183,122
7.5GY-7-8,7.5GY,GY,7.5,7,8,144,187,101
7.5GY-7-10,7.5GY,GY,7.5,7,10,135,189,77
7.5GY-7-12,7.5GY,GY,7.5,7,12,125,192,46
7.5GY-7-14,7.5GY,GY,7.5,7,14,115,194,0
7.5GY-7-16,7.5GY,GY,7.5,7,16,106,196,0
7.5GY-7-18,7.5GY,GY,7.5,7,18,99,197,0
7.5GY-8-2,7.5GY,GY,7.5,8,2,196,203,186
7.5GY-8-4,7.5GY,GY,7.5,8,4,187,207,166
7.5GY-8-6,7.5GY,GY,7.5,8,6,179,210,145
7.5GY-8-8,7.5GY,GY,7.5,8,8,171,213,124
7.5GY-8-10,7.5GY,GY,7.5,8,10,162,216,101
7.5GY-8-12,7.5GY,GY,7.5,8,12,152,219,72
7.5GY-8-14,7.5GY,GY,7.5,8,14,142,222,26
7.5GY-8-16,7.5GY,GY,7.5,8,16,133,224,0
7.5GY-8-18,7.5GY,GY,7.5,8,18,125,225,0
7.5GY-8-20,7.5GY,GY,7.5,8,20,119,226,0
7.5GY-9-2,7.5GY,GY,7.5,9,2,223,230,211
7.5GY-9-4,7.5GY,GY,7.5,9,4,214,234,189
7.5GY-9-6,7.5GY,GY,7.5,9,6,206,238,166
7.5GY-9-8,7.5GY,GY,7.5,9,8,197,242,144
7.5GY-9-10,7.5GY,GY,7.5,9,10,188,245,119
7.5GY-9-12,7.5GY,GY,7.5,9,12,179,247,92
7.5GY-9-14,7.5GY,GY,7.5,9,14,169,250,57
7.5GY-9-16,7.5GY,GY,7.5,9,16,159,252,0
7.5GY-9-18,7.5GY,GY,7.5,9,18,150,254,0
10.0GY-1-2,10.0GY,GY,10.0,1,2,22,31,24
10.0GY-1-4,10.0GY,GY,10.0,1,4,1,35,13
10.0GY-1-6,10.0GY,GY,10.0,1,6,0,37,2
10.0GY-2-2,10.0GY,GY,10.0,2,2,43,51,45
10.0GY-2-4,10.0GY,GY,10.0,2,4,30,55,35
10.0GY-2-6,10.0GY,GY,10.0,2,6,11,57,24
10.0GY-2-8,10.0GY,GY,10.0,2,8,0,60,10
10.0GY-2-10,10.0GY,GY,10.0,2,10,0,62,0
10.0GY-2-12,10.0GY,GY,10.0,2,12,0,64,0
10.0GY-3-2,10.0GY,GY,10.0,3,2,64,75,66
10.0GY-3-4,10.0GY,GY,10.0,3,4,52,78,54
10.0GY-3-6,10.0GY,GY,10.0,3,6,37,81,41
10.0GY-3-8,10.0GY,GY,10.0,3,8,10,84,27
10.0GY-3-10,10.0GY,GY,10.0,3,10,0,86,9
10.0GY-3-12,10.0GY,GY,10.0,3,12,0,88,0
10.0GY-3-14,10.0GY,GY,10.0,3,14,0,90,0
10.0GY-4-2,10.0GY,GY,10.0,4,2,88,99,89
10.0GY-4-4,10.0GY,GY,10.0,4,4,76,103,75
10.0GY-4-6,10.0GY,GY,10.0,4,6,61,107,61
10.0GY-4-8,10.0GY,GY,10.0,4,8,42,110,45
10.0GY-4-10,10.0GY,GY,10.0,4,10,0,113,27
10.0GY-4-12,10.0GY,GY,10.0,4,12,0,115,0
10.0GY-4-14,10.0GY,GY,10.0,4,14,0,117,0
10.0GY-4-16,10.0GY,GY,10.0,4,16,0,119,0
10.0GY-5-2,10.0GY,GY,10.0,5,2,113,125,114
10.0GY-5-4,10.0GY,GY,10.0,5,4,101,129,100
10.0GY-5-6,10.0GY,GY,10.0,5,6,88,133,86
10.0GY-5-8,10.0GY,GY,10.0,5,8,72,136,70
10.0GY-5-10,10.0GY,GY,10.0,5,10,51,139,53
10.0GY-5-12,10.0GY,GY,10.0,5,12,4,142,30
10.0GY-5-14,10.0GY,GY,10.0,5,14,0,144,0
10.0GY-5-16,10.0GY,GY,10.0,5,16,0,146,0
10.0GY-5-18,10.0GY,GY,10.0,5,18,0,148,0
10.0GY-6-2,10.0GY,GY,10.0,6,2,138,151,139
10.0GY-6-4,10.0GY,GY,10.0,6,4,127,155,124
10.0GY-6-6,10.0GY,GY,10.0,6,6,114,159,109
10.0GY-6-8,10.0GY,GY,10.0,6,8,99,163,93
10.0GY-6-10,10.0GY,GY,10.0,6,10,82,166,77
10.0GY-6-12,10.0GY,GY,10.0,6,12,60,169,58
10.0GY-6-14,10.0GY,GY,10.0,6,14,11,172,33
10.0GY-6-16,10.0GY,GY,10.0,6,16,0,174,0
10.0GY-6-18,10.0GY,GY,10.0,6,18,0,176,0
10.0GY-6-20,10.0GY,GY,10.0,6,20,0,178,0
10.0GY-7-2,10.0GY,GY,10.0,7,2,164,177,165
10.0GY-7-4,10.0GY,GY,10.0,7,4,153,182,149
10.0GY-7-6,10.0GY,GY,10.0,7,6,141,185,135
10.0GY-7-8,10.0GY,GY,10.0,7,8,127,189,119
10.0GY-7-10,10.0GY,GY,10.0,7,10,111,192,102
10.0GY-7-12,10.0GY,GY,10.0,7,12,92,196,83
10.0GY-7-14,10.0GY,GY,10.0,7,14,68,199,63
10.0GY-7-16,10.0GY,GY,10.0,7,16,21,201,35
10.0GY-7-18,10.0GY,GY,10.0,7,18,0,204,0
10.0GY-7-20,10.0GY,GY,10.0,7,20,0,206,0
10.0GY-7-22,10.0GY,GY,10.0,7,22,0,208,0
10.0GY-8-2,10.0GY,GY,10.0,8,2,191,204,190
10.0GY-8-4,10.0GY,GY,10.0,8,4,179,208,174
10.0GY-8-6,10.0GY,GY,10.0,8,6,166,213,158
10.0GY-8-8,10.0GY,GY,10.0,8,8,153,216,143
10.0GY-8-10,10.0GY,GY,10.0,8,10,137,220,125
10.0GY-8-12,10.0GY,GY,10.0,8,12,120,223,106
10.0GY-8-14,10.0GY,GY,10.0,8,14,99,226,87
10.0GY-8-16,10.0GY,GY,10.0,8,16,71,229,64
10.0GY-8-18,10.0GY,GY,10.0,8,18,12,232,28
10.0GY-8-20,10.0GY,GY,10.0,8,20,0,235,0
10.0GY-8-22,10.0GY,GY,10.0,8,22,0,237,0
10.0GY-8-24,10.0GY,GY,10.0,8,24,0,239,0
10.0GY-9-2,10.0GY,GY,10.0,9,2,217,231,216
10.0GY-9-4,10.0GY,GY,10.0,9,4,204,236,199
10.0GY-9-6,10.0GY,GY,10.0,9,6,189,241,180
10.0GY-9-8,10.0GY,GY,10.0,9,8,176,245,164
10.0GY-9-10,10.0GY,GY,10.0,9,10,160,249,145
10.0GY-9-12,10.0GY,GY,10.0,9,12,144,252,128
10.0GY-9-14,10.0GY,GY,10.0,9,14,124,255,108
10.0GY-9-16,10.0GY,GY,10.0,9,16,99,255,84
10.0GY-9-18,10.0GY,GY,10.0,9,18,64,255,55
2.5G-1-2,2.5G,G,2.5,1,2,20,31,26
2.5G-1-4,2.5G,G,2.5,1,4,0,35,19
2.5G-1-6,2.5G,G,2.5,1,6,0,38,13
2.5G-1-8,2.5G,G,2.5,1,8,0,41,8
2.5G-2-2,2.5G,G,2.5,2,2,41,52,47
2.5G-2-4,2.5G,G,2.5,2,4,24,55,40
2.5G-2-6,2.5G,G,2.5,2,6,0,58,34
2.5G-2-8,2.5G,G,2.5,2,8,0,60,29
2.5G-2-10,2.5G,G,2.5,2,10,0,63,24
2.5G-2-12,2.5G,G,2.5,2,12,0,65,19
2.5G-2-14,2.5G,G,2.5,2,14,0,66,16
2.5G-2-16,2.5G,G,2.5,2,16,0,68,13
2.5G-3-2,2.5G,G,2.5,3,2,62,75,68
2.5G-3-4,2.5G,G,2.5,3,4,45,79,61
2.5G-3-6,2.5G,G,2.5,3,6,18,82,54
2.5G-3-8,2.5G,G,2.5,3,8,0,85,48
2.5G-3-10,2.5G,G,2.5,3,10,0,88,42
2.5G-3-12,2.5G,G,2.5,3,12,0,90,36
2.5G-3-14,2.5G,G,2.5,3,14,0,91,32
2.5G-3-16,2.5G,G,2.5,3,16,0,93,28
2.5G-3-18,2.5G,G,2.5,3,18,0,94,25
2.5G-3-20,2.5G,G,2.5,3,20,0,95,22
2.5G-3-22,2.5G,G,2.5,3,22,0,97,20
2.5G-4-2,2.5G,G,2.5,4,2,85,100,93
2.5G-4-4,2.5G,G,2.5,4,4,68,104,84
2.5G-4-6,2.5G,G,2.5,4,6,43,108,75
2.5G-4-8,2.5G,G,2.5,4,8,0,112,68
2.5G-4-10,2.5G,G,2.5,4,10,0,115,60
2.5G-4-12,2.5G,G,2.5,4,12,0,117,53
2.5G-4-14,2.5G,G,2.5,4,14,0,119,47
2.5G-4-16,2.5G,G,2.5,4,16,0,121,42
2.5G-4-18,2.5G,G,2.5,4,18,0,123,37
2.5G-4-20,2.5G,G,2.5,4,20,0,124,34
2.5G-4-22,2.5G,G,2.5,4,22,0,125,30
2.5G-4-24,2.5G,G,2.5,4,24,0,127,27
2.5G-4-26,2.5G,G,2.5,4,26,0,128,24
2.5G-5-2,2.5G,G,2.5,5,2,110,126,118
2.5G-5-4,2.5G,G,2.5,5,4,94,130,109
2.5G-5-6,2.5G,G,2.5,5,6,74,134,100
2.5G-5-8,2.5G,G,2.5,5,8,46,138,91
2.5G-5-10,2.5G,G,2.5,5,10,0,141,83
2.5G-5-12,2.5G,G,2.5,5,12,0,144,74
2.5G-5-14,2.5G,G,2.5,5,14,0,147,67
